Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1/4/2016,2016,1,4,Monday,1,2016-01,10.58,10.58,10.58,10.58,0,9.53,-0.00470365,9.548571429,9.572916667
1/5/2016,2016,1,5,Tuesday,1,2016-01,10.57,10.57,10.57,10.57,0,9.52,-0.000945216,9.55,9.5708
1/6/2016,2016,1,6,Wednesday,1,2016-01,10.53,10.53,10.53,10.53,0,9.49,-0.00378424,9.547857143,9.567692308
1/7/2016,2016,1,7,Thursday,1,2016-01,10.45,10.45,10.45,10.45,0,9.41,-0.00759733,9.536428571,9.561851852
1/8/2016,2016,1,8,Friday,1,2016-01,10.44,10.44,10.44,10.44,0,9.4,-0.000956974,9.525714286,9.556071429
1/11/2016,2016,1,11,Monday,2,2016-02,10.42,10.42,10.42,10.42,0,9.39,-0.001915681,9.516428571,9.550344828
1/12/2016,2016,1,12,Tuesday,2,2016-02,10.44,10.44,10.44,10.44,0,9.4,0.001919358,9.507857143,9.545333333
1/13/2016,2016,1,13,Wednesday,2,2016-02,10.36,10.36,10.36,10.36,0,9.33,-0.007662824,9.493571429,9.538387097
1/14/2016,2016,1,14,Thursday,2,2016-02,10.37,10.37,10.37,10.37,0,9.34,0.000965186,9.477857143,9.5321875
1/15/2016,2016,1,15,Friday,2,2016-02,10.32,10.32,10.32,10.32,0,9.3,-0.004821581,9.458571429,9.525151515
1/19/2016,2016,1,19,Tuesday,3,2016-03,10.3,10.3,10.3,10.3,0,9.28,-0.001937853,9.437857143,9.517941176
1/20/2016,2016,1,20,Wednesday,3,2016-03,10.28,10.28,10.28,10.28,0,9.26,-0.001941822,9.415,9.510571429
1/21/2016,2016,1,21,Thursday,3,2016-03,10.28,10.28,10.28,10.28,0,9.26,0,9.392142857,9.503611111
1/22/2016,2016,1,22,Friday,3,2016-03,10.32,10.32,10.32,10.32,0,9.3,0.003890993,9.372142857,9.498108108
1/25/2016,2016,1,25,Monday,4,2016-04,10.31,10.31,10.31,10.31,0,9.29,-0.000968824,9.355,9.492631579
1/26/2016,2016,1,26,Tuesday,4,2016-04,10.31,10.31,10.31,10.31,0,9.29,0,9.338571429,9.487435897
1/27/2016,2016,1,27,Wednesday,4,2016-04,10.28,10.28,10.28,10.28,0,9.26,-0.002909907,9.322142857,9.48175
1/28/2016,2016,1,28,Thursday,4,2016-04,10.27,10.27,10.27,10.27,0,9.25,-0.000972594,9.310714286,9.476097561
1/29/2016,2016,1,29,Friday,4,2016-04,10.32,10.32,10.32,10.32,0,9.3,0.004868322,9.303571429,9.471904762
2/1/2016,2016,2,1,Monday,5,2016-05,10.33,10.33,10.33,10.33,0,9.31,0.000968927,9.297857143,9.468139535
2/2/2016,2016,2,2,Tuesday,5,2016-05,10.3,10.3,10.3,10.3,0,9.28,-0.002903966,9.289285714,9.463863636
2/3/2016,2016,2,3,Wednesday,5,2016-05,10.26,10.26,10.26,10.26,0,9.24,-0.003883643,9.282857143,9.458888889
2/4/2016,2016,2,4,Thursday,5,2016-05,10.26,10.26,10.26,10.26,0,9.24,0,9.275714286,9.454130435
2/5/2016,2016,2,5,Friday,5,2016-05,10.21,10.21,10.21,10.21,0,9.2,-0.004873275,9.268571429,9.448723404
2/8/2016,2016,2,8,Monday,6,2016-06,10.12,10.12,10.12,10.12,0,9.12,-0.008815017,9.257142857,9.441875
2/9/2016,2016,2,9,Tuesday,6,2016-06,10.12,10.12,10.12,10.12,0,9.12,0,9.247142857,9.435306122
2/10/2016,2016,2,10,Wednesday,6,2016-06,10.15,10.15,10.15,10.15,0,9.14,0.002964541,9.238571429,9.4294
2/11/2016,2016,2,11,Thursday,6,2016-06,10.13,10.13,10.13,10.13,0,9.13,-0.001970206,9.226428571,9.4186
2/12/2016,2016,2,12,Friday,6,2016-06,10.15,10.15,10.15,10.15,0,9.14,0.001974095,9.215714286,9.4078
2/16/2016,2016,2,16,Tuesday,7,2016-07,10.19,10.19,10.19,10.19,0,9.18,0.003940933,9.207857143,9.398
2/17/2016,2016,2,17,Wednesday,7,2016-07,10.22,10.22,10.22,10.22,0,9.21,0.002944175,9.204285714,9.3904
2/18/2016,2016,2,18,Thursday,7,2016-07,10.21,10.21,10.21,10.21,0,9.2,-0.000978614,9.200714286,9.3822
2/19/2016,2016,2,19,Friday,7,2016-07,10.22,10.22,10.22,10.22,0,9.21,0.000979573,9.194285714,9.3744
2/22/2016,2016,2,22,Monday,8,2016-08,10.25,10.25,10.25,10.25,0,9.23,0.002935325,9.188571429,9.3672
2/23/2016,2016,2,23,Tuesday,8,2016-08,10.26,10.26,10.26,10.26,0,9.24,0.000975544,9.185714286,9.3606
2/24/2016,2016,2,24,Wednesday,8,2016-08,10.26,10.26,10.26,10.26,0,9.24,0,9.185714286,9.354
2/25/2016,2016,2,25,Thursday,8,2016-08,10.29,10.29,10.29,10.29,0,9.27,0.002923985,9.187857143,9.349
2/26/2016,2016,2,26,Friday,8,2016-08,10.31,10.31,10.31,10.31,0,9.29,0.001943812,9.194285714,9.3448
2/29/2016,2016,2,29,Monday,9,2016-09,10.32,10.32,10.32,10.32,0,9.3,0.000969764,9.207142857,9.3404
3/1/2016,2016,3,1,Tuesday,9,2016-09,10.34,10.34,10.34,10.34,0,9.31,0.001938161,9.220714286,9.3352
3/2/2016,2016,3,2,Wednesday,9,2016-09,10.35,10.35,10.35,10.35,0,9.32,0.000967052,9.233571429,9.3306
3/3/2016,2016,3,3,Thursday,9,2016-09,10.35,10.35,10.35,10.35,0,9.32,0,9.247142857,9.3266
3/4/2016,2016,3,4,Friday,9,2016-09,10.35,10.35,10.35,10.35,0,9.32,0,9.26,9.3226
3/7/2016,2016,3,7,Monday,10,2016-10,10.35,10.35,10.35,10.35,0,9.32,0,9.27,9.3184
3/8/2016,2016,3,8,Tuesday,10,2016-10,10.32,10.32,10.32,10.32,0,9.3,-0.002898661,9.276428571,9.3132
3/9/2016,2016,3,9,Wednesday,10,2016-10,10.32,10.32,10.32,10.32,0,9.3,0,9.283571429,9.3078
3/10/2016,2016,3,10,Thursday,10,2016-10,10.3,10.3,10.3,10.3,0,9.28,-0.001937853,9.288571429,9.302
3/11/2016,2016,3,11,Friday,10,2016-10,10.35,10.35,10.35,10.35,0,9.32,0.004854348,9.295,9.2968
3/14/2016,2016,3,14,Monday,11,2016-11,10.34,10.34,10.34,10.34,0,9.31,-0.000966118,9.3,9.2914
3/15/2016,2016,3,15,Tuesday,11,2016-11,10.31,10.31,10.31,10.31,0,9.29,-0.002901362,9.303571429,9.2856
3/16/2016,2016,3,16,Wednesday,11,2016-11,10.32,10.32,10.32,10.32,0,9.3,0.000969764,9.305714286,9.281
3/17/2016,2016,3,17,Thursday,11,2016-11,10.35,10.35,10.35,10.35,0,9.32,0.002907088,9.307857143,9.277
3/18/2016,2016,3,18,Friday,11,2016-11,10.38,10.38,10.38,10.38,0,9.35,0.002898457,9.311428571,9.2742
3/21/2016,2016,3,21,Monday,12,2016-12,10.37,10.37,10.37,10.37,0,9.34,-0.000963428,9.313571429,9.2728
3/22/2016,2016,3,22,Tuesday,12,2016-12,10.38,10.38,10.38,10.38,0,9.35,0.000964357,9.315714286,9.2718
3/23/2016,2016,3,23,Wednesday,12,2016-12,10.37,10.37,10.37,10.37,0,9.34,-0.000963428,9.317142857,9.2708
3/24/2016,2016,3,24,Thursday,12,2016-12,10.37,10.37,10.37,10.37,0,9.34,0,9.318571429,9.2696
3/28/2016,2016,3,28,Monday,13,2016-13,10.36,10.36,10.36,10.36,0,9.33,-0.000964255,9.319285714,9.2696
3/29/2016,2016,3,29,Tuesday,13,2016-13,10.39,10.39,10.39,10.39,0,9.36,0.002895659,9.323571429,9.27
3/30/2016,2016,3,30,Wednesday,13,2016-13,10.41,10.41,10.41,10.41,0,9.38,0.001925002,9.329285714,9.2716
