Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1/4/2016,2016,1,4,Monday,1,2016-01,200.49,201.03,198.59,201.02,222353500,179.56,-0.013979049,182.235,182.9445833
1/5/2016,2016,1,5,Tuesday,1,2016-01,201.4,201.9,200.05,201.36,110845800,179.86,0.00169121,182.2135714,182.8212
1/6/2016,2016,1,6,Wednesday,1,2016-01,198.34,200.06,197.6,198.82,152112600,177.59,-0.012614257,181.895,182.62
1/7/2016,2016,1,7,Thursday,1,2016-01,195.33,197.44,193.59,194.05,213436100,173.33,-0.023991602,181.0814286,182.2759259
1/8/2016,2016,1,8,Friday,1,2016-01,195.19,195.85,191.58,191.92,209817200,171.43,-0.010976553,180.3335714,181.8885714
1/11/2016,2016,1,11,Monday,2,2016-02,193.01,193.41,189.82,192.11,187941300,171.6,0.000990154,179.8292857,181.5337931
1/12/2016,2016,1,12,Tuesday,2,2016-02,193.82,194.55,191.14,193.66,172330500,172.98,0.008068298,179.3178571,181.2486667
1/13/2016,2016,1,13,Wednesday,2,2016-02,194.45,194.86,188.38,188.83,221168900,168.67,-0.024940731,178.3821429,180.8429032
1/14/2016,2016,1,14,Thursday,2,2016-02,189.55,193.26,187.66,191.93,240795600,171.44,0.016416893,177.4835714,180.5490625
1/15/2016,2016,1,15,Friday,2,2016-02,186.77,188.76,185.52,187.81,324846400,167.76,-0.02146601,176.3435714,180.1615152
1/19/2016,2016,1,19,Tuesday,3,2016-03,189.96,190.11,186.2,188.06,195244400,167.98,0.001330904,175.2492857,179.8032353
1/20/2016,2016,1,20,Wednesday,3,2016-03,185.03,187.5,181.02,185.65,286547800,165.83,-0.012815092,173.8621429,179.404
1/21/2016,2016,1,21,Thursday,3,2016-03,186.21,188.87,184.64,186.69,195772900,166.76,0.005602165,172.635,179.0527778
1/22/2016,2016,1,22,Friday,3,2016-03,189.78,190.76,188.88,190.52,168319600,170.18,0.020515139,171.7835714,178.812973
1/25/2016,2016,1,25,Monday,4,2016-04,189.92,190.15,187.41,187.64,130371700,167.6,-0.015116387,170.9292857,178.5178947
1/26/2016,2016,1,26,Tuesday,4,2016-04,188.42,190.53,188.02,190.2,141036800,169.89,0.013643113,170.2171429,178.2966667
1/27/2016,2016,1,27,Wednesday,4,2016-04,189.58,191.56,187.06,188.13,185681700,168.04,-0.010883574,169.535,178.04025
1/28/2016,2016,1,28,Thursday,4,2016-04,189.96,190.2,187.16,189.11,143798800,168.92,0.005209595,169.22,177.8178049
1/29/2016,2016,1,29,Friday,4,2016-04,190.02,193.88,189.88,193.72,210529300,173.03,0.024376952,169.3342857,177.7038095
2/1/2016,2016,2,1,Monday,5,2016-05,192.53,194.58,191.84,193.65,136061600,172.97,-0.0003612,169.4321429,177.5937209
2/2/2016,2016,2,2,Tuesday,5,2016-05,191.96,191.97,189.54,190.16,182564900,169.85,-0.01802223,169.2085714,177.4177273
2/3/2016,2016,2,3,Wednesday,5,2016-05,191.41,191.78,187.1,191.3,205054900,170.87,0.0059951,169.3657143,177.2722222
2/4/2016,2016,2,4,Thursday,5,2016-05,190.71,192.75,189.96,191.6,139531800,171.14,0.00156827,169.3442857,177.138913
2/5/2016,2016,2,5,Friday,5,2016-05,190.99,191.67,187.2,187.95,180788300,167.88,-0.019050297,169.3528571,176.9419149
2/8/2016,2016,2,8,Monday,6,2016-06,185.77,186.12,182.8,185.42,191526700,165.62,-0.013460917,169.1842857,176.7060417
2/9/2016,2016,2,9,Tuesday,6,2016-06,183.36,186.94,183.2,185.43,184513100,165.63,5.38E-05,169.17,176.48
2/10/2016,2016,2,10,Wednesday,6,2016-06,186.41,188.34,185.12,185.27,148214100,165.49,-0.000862759,169.0792857,176.2602
2/11/2016,2016,2,11,Thursday,6,2016-06,182.34,184.1,181.09,182.86,219058900,163.33,-0.013007982,168.59,175.8208
2/12/2016,2016,2,12,Friday,6,2016-06,184.96,186.65,183.96,186.63,127632400,166.7,0.020616735,168.5257143,175.4134
2/16/2016,2016,2,16,Tuesday,7,2016-07,188.77,189.81,187.63,189.78,120250700,169.52,0.016878152,168.4992857,175.1006
2/17/2016,2016,2,17,Wednesday,7,2016-07,191.16,193.32,191.01,192.88,136009500,172.28,0.016334986,168.8021429,174.8948
2/18/2016,2016,2,18,Thursday,7,2016-07,193.2,193.27,191.72,192.09,102343000,171.58,-0.004095895,168.9921429,174.6038
2/19/2016,2016,2,19,Friday,7,2016-07,191.17,192.18,190.45,192,114793000,171.5,-0.000468582,168.8828571,174.3338
2/22/2016,2016,2,22,Monday,8,2016-08,193.87,194.95,193.79,194.78,103640300,173.98,0.014479192,168.955,174.1382
2/23/2016,2016,2,23,Tuesday,8,2016-08,194,194.32,192.18,192.32,111455300,171.78,-0.012629585,169.0928571,173.9272
2/24/2016,2016,2,24,Wednesday,8,2016-08,190.63,193.53,189.32,193.2,150812200,172.57,0.004575666,169.2142857,173.7226
2/25/2016,2016,2,25,Thursday,8,2016-08,193.73,195.55,192.83,195.54,110728300,174.66,0.012111803,169.4657143,173.6306
2/26/2016,2016,2,26,Friday,8,2016-08,196.57,196.68,194.9,195.09,129833700,174.26,-0.002301135,169.9214286,173.5126
2/29/2016,2016,2,29,Monday,9,2016-09,195.11,196.23,193.33,193.56,125918100,172.89,-0.007842604,170.4407143,173.3294
3/1/2016,2016,3,1,Tuesday,9,2016-09,195.01,198.21,194.45,198.11,141799700,176.96,0.02350683,171.25,173.1742
3/2/2016,2016,3,2,Wednesday,9,2016-09,197.74,199.06,197.25,199,102415000,177.75,0.004492381,172.1257143,173.0912
3/3/2016,2016,3,3,Thursday,9,2016-09,198.79,199.8,198.11,199.78,95172200,178.45,0.003919713,173.2057143,173.087
